Week,china,putin,iran,refugee,syria
2004-01-04 - 2004-01-10,68,1,16,1,2
2004-01-11 - 2004-01-17,67,0,15,1,2
2004-01-18 - 2004-01-24,67,1,13,2,2
2004-01-25 - 2004-01-31,66,0,12,2,2
2004-02-01 - 2004-02-07,67,1,12,2,2
2004-02-08 - 2004-02-14,68,1,12,2,2
2004-02-15 - 2004-02-21,70,1,14,2,2
2004-02-22 - 2004-02-28,70,1,12,2,2
2004-02-29 - 2004-03-06,71,1,11,2,2
2004-03-07 - 2004-03-13,70,1,12,1,2
2004-03-14 - 2004-03-20,71,1,11,2,2
2004-03-21 - 2004-03-27,69,1,10,2,2
2004-03-28 - 2004-04-03,70,1,11,2,2
2004-04-04 - 2004-04-10,69,0,12,2,2
2004-04-11 - 2004-04-17,69,1,11,2,2
2004-04-18 - 2004-04-24,73,1,11,2,2
2004-04-25 - 2004-05-01,73,1,12,2,3
2004-05-02 - 2004-05-08,70,1,12,2,2
2004-05-09 - 2004-05-15,70,1,12,2,2
2004-05-16 - 2004-05-22,73,0,12,2,2
2004-05-23 - 2004-05-29,69,1,11,2,2
2004-05-30 - 2004-06-05,69,1,12,2,2
2004-06-06 - 2004-06-12,66,1,12,2,2
2004-06-13 - 2004-06-19,63,1,11,2,2
2004-06-20 - 2004-06-26,63,1,11,2,2
2004-06-27 - 2004-07-03,61,1,11,1,2
2004-07-04 - 2004-07-10,61,1,10,1,2
2004-07-11 - 2004-07-17,62,0,10,1,2
2004-07-18 - 2004-07-24,64,0,11,2,2
2004-07-25 - 2004-07-31,65,0,11,1,2
2004-08-01 - 2004-08-07,67,0,12,2,2
2004-08-08 - 2004-08-14,65,1,11,2,1
2004-08-15 - 2004-08-21,70,0,12,2,2
2004-08-22 - 2004-08-28,69,1,11,1,2
2004-08-29 - 2004-09-04,68,1,11,1,2
2004-09-05 - 2004-09-11,68,2,11,1,2
2004-09-12 - 2004-09-18,68,1,11,1,2
2004-09-19 - 2004-09-25,70,1,12,2,2
2004-09-26 - 2004-10-02,67,1,12,1,2
2004-10-03 - 2004-10-09,66,1,12,2,2
2004-10-10 - 2004-10-16,70,1,11,2,2
2004-10-17 - 2004-10-23,67,1,11,1,2
2004-10-24 - 2004-10-30,70,1,11,2,2
2004-10-31 - 2004-11-06,70,1,11,2,2
2004-11-07 - 2004-11-13,68,1,11,2,2
2004-11-14 - 2004-11-20,73,1,12,2,2
2004-11-21 - 2004-11-27,71,1,11,2,2
2004-11-28 - 2004-12-04,71,1,11,2,2
2004-12-05 - 2004-12-11,72,1,11,2,2
2004-12-12 - 2004-12-18,69,1,11,2,2
2004-12-19 - 2004-12-25,60,1,11,1,2
2004-12-26 - 2005-01-01,64,1,12,1,1
2005-01-02 - 2005-01-08,66,1,11,1,2
2005-01-09 - 2005-01-15,67,1,10,1,2
2005-01-16 - 2005-01-22,65,1,15,1,2
2005-01-23 - 2005-01-29,65,1,13,1,2
2005-01-30 - 2005-02-05,65,1,12,1,2
2005-02-06 - 2005-02-12,63,1,14,1,2
2005-02-13 - 2005-02-19,66,1,14,2,4
2005-02-20 - 2005-02-26,69,2,14,1,3
2005-02-27 - 2005-03-05,68,1,12,1,3
2005-03-06 - 2005-03-12,71,1,11,2,3
2005-03-13 - 2005-03-19,70,1,12,2,3
2005-03-20 - 2005-03-26,67,1,11,2,2
2005-03-27 - 2005-04-02,69,0,11,1,2
2005-04-03 - 2005-04-09,71,1,11,2,2
2005-04-10 - 2005-04-16,73,1,11,2,2
2005-04-17 - 2005-04-23,74,1,11,2,2
2005-04-24 - 2005-04-30,72,1,11,2,2
2005-05-01 - 2005-05-07,70,1,11,2,2
2005-05-08 - 2005-05-14,71,2,11,2,2
2005-05-15 - 2005-05-21,70,1,11,1,2
2005-05-22 - 2005-05-28,69,1,10,1,2
2005-05-29 - 2005-06-04,67,1,11,1,2
2005-06-05 - 2005-06-11,67,0,12,2,2
2005-06-12 - 2005-06-18,66,1,13,1,2
2005-06-19 - 2005-06-25,63,0,13,2,2
2005-06-26 - 2005-07-02,63,1,12,1,2
2005-07-03 - 2005-07-09,63,1,10,1,2
2005-07-10 - 2005-07-16,66,0,9,1,2
2005-07-17 - 2005-07-23,66,0,9,1,2
2005-07-24 - 2005-07-30,65,0,11,1,2
2005-07-31 - 2005-08-06,65,0,11,1,2
2005-08-07 - 2005-08-13,65,0,12,1,2
